 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
140067,OSF SAINT FRANCIS MEDICAL CENTER,530 NE GLEN OAK AVE,PEORIA,PEORIA,IL,61637,3096552000,96,3,1,97,89,9,2,93,85,12,3,94,85,13,2,94,,2557,574,28,10/1/2017,9/30/2018
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,COOK,IL,60637,7737021000,,,,,,,,,,,,,,,,,4,,,,,
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,MC DONOUGH,IL,61455,3098334101,98,2,0,99,94,5,1,96,83,15,2,93,70,28,2,89,,2849,916,32,10/1/2017,9/30/2018
360348,DUBLIN METHODIST HOSPITAL,7500 HOSPITAL AVENUE,DUBLIN,FRANKLIN,OH,43016,6145448000,,,,,,,,,,,,,,,,,4,,,,,
140091,THE CARLE FOUNDATION HOSPITAL,611 WEST PARK STREET,URBANA,CHAMPAIGN,IL,61801,2173833311,97,3,0,99,92,7,1,96,90,9,1,96,85,14,1,94,,1243,330,27,10/1/2017,9/30/2018
140093,OSF SACRED HEART MEDICAL CENTER,812 N LOGAN AVE,DANVILLE,VERMILION,IL,61832,2174435000,,,,,,,,,,,,,,,,,4,,,,,
140095,SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,COOK,IL,60623,7735211710,97,2,1,98,91,7,2,94,88,6,6,94,82,11,7,90,,1006,116,19,10/1/2017,9/30/2018
140100,MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,LAKE,IL,60099,8478724561,,,,,,,,,,,,,,,,,4,,,,,
140103,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,COOK,IL,60621,7739623900,,,,,,,,,,,,,,,,,4,,,,,
140110,OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR,1100 EAST NORRIS DRIVE,OTTAWA,LA SALLE,IL,61350,8154333100,97,3,0,98,91,7,2,94,77,19,4,91,68,30,2,88,,3142,1072,34,10/1/2017,9/30/2018
140113,OSF HEART OF MARY MEDICAL CENTER,1400 WEST PARK AVENUE,URBANA,CHAMPAIGN,IL,61801,2173372000,,,,,,,,,,,,,,,,,4,,,,,
140114,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,COOK,IL,60625,7738788200,,,,,,,,,,,,,,,,,4,,,,,
140116,CENTEGRA HOSPITAL-MCHENRY,4201 MEDICAL CENTER DRIVE,MCHENRY,MC HENRY,IL,60050,8153445000,98,2,0,99,91,7,2,94,83,15,2,93,78,20,2,92,,2709,862,32,10/1/2017,9/30/2018
140120,PEKIN MEMORIAL HOSPITAL,600 SOUTH 13TH STREET,PEKIN,TAZEWELL,IL,61554,3093471151,95,4,1,97,90,8,2,94,75,21,4,91,66,31,3,87,,2713,727,27,10/1/2017,9/30/2018
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET,DECATUR,MACON,IL,62526,2178768121,,,,,,,,,,,,,,,,,4,,,,,
140137,GREENVILLE REGIONAL HOSPITAL,200 HEALTH CARE DR,GREENVILLE,BOND,IL,62246,6186641230,97,3,0,98,93,6,1,96,83,13,4,93,73,25,2,90,,626,235,38,10/1/2017,9/30/2018
140143,ST MARGARETS HOSPITAL,600 E 1ST ST,SPRING VALLEY,BUREAU,IL,61362,8156641176,97,3,0,99,92,6,2,95,86,13,1,94,84,14,2,93,,637,235,37,10/1/2017,9/30/2018
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,CLINTON,IL,62230,6185264511,99,1,0,99,95,4,1,97,93,6,1,96,88,11,1,96,,2150,995,47,10/1/2017,9/30/2018
140147,RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST,OLNEY,RICHLAND,IL,62450,6183952131,98,2,0,99,92,6,2,95,86,13,1,95,85,15,0,95,,1398,322,24,10/1/2017,9/30/2018
140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,COOK,IL,60612,3129963900,95,5,0,97,92,7,1,96,77,17,6,91,80,15,5,91,,994,152,15,10/1/2017,9/30/2018
140160,FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,STEPHENSON,IL,61032,8155996000,,,,,,,,,,,,,,,,,4,,,,,
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,LIVINGSTON,IL,61764,8158422828,98,2,0,99,94,5,1,96,91,8,1,96,83,15,2,94,,1604,580,36,10/1/2017,9/30/2018
140162,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON,BLOOMINGTON,MC LEAN,IL,61701,3096623311,96,4,0,98,87,10,3,92,81,15,4,92,80,19,1,93,,1344,345,29,10/1/2017,9/30/2018
140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,MACON,IL,62521,2174642966,96,3,1,97,90,7,3,93,81,15,4,92,76,21,3,91,,1902,550,29,10/1/2017,9/30/2018
140172,FRANCISCAN HEALTH OLYMPIA  FIELDS & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,COOK,IL,60461,7087474000,98,2,0,99,93,6,1,96,86,12,2,94,79,18,3,91,,444,120,28,10/1/2017,9/30/2018
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,COOK,IL,60805,7084226200,97,3,0,98,89,9,2,93,83,14,3,94,80,18,2,92,,3302,972,29,10/1/2017,9/30/2018
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,ST. CLAIR,IL,62269,6182342120,95,4,1,97,92,6,2,95,87,10,3,94,84,13,3,93,,5452,1557,29,10/1/2017,9/30/2018
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE,MATTOON,COLES,IL,61938,2172582572,,,,,,,,,,,,,,,,,4,,,,,
140200,ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,DU PAGE,IL,60126,3312210130,,,,,,,,,,,,,,,,,4,,,,,
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE,PEORIA,PEORIA,IL,61636,3096725522,96,4,0,98,90,8,2,94,82,15,3,93,80,19,1,93,,2152,616,29,10/1/2017,9/30/2018
140231,EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,DU PAGE,IL,60540,6305273000,,,,,,,,,,,,,,,,,4,,,,,
140233,OSF SAINT ANTHONY MEDICAL CENTER,5666 EAST STATE STREET,ROCKFORD,WINNEBAGO,IL,61108,8152262000,97,3,0,98,93,5,2,96,84,12,4,93,81,16,3,92,,1811,516,32,10/1/2017,9/30/2018
140239,MERCYHEALTH HOSPITAL ROCKTON AVENUE,2400 NORTH ROCKTON AVENUE,ROCKFORD,WINNEBAGO,IL,61103,8159686861,,,,,,,,,,,,,,,,,4,,,,,
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,DU PAGE,IL,60190,6306821600,99,1,0,99,94,4,2,96,93,6,1,97,90,9,1,96,2,697,196,28,10/1/2017,9/30/2018
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,COOK,IL,60007,8474375500,,,,,,,,,,,,,,,,,4,,,,,
140280,TRINITY - ROCK ISLAND,2701 17TH ST,ROCK ISLAND,ROCK ISLAND,IL,61201,3097795000,96,3,1,98,89,9,2,93,81,16,3,92,78,20,2,92,,3855,1208,32,10/1/2017,9/30/2018
140281,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,COOK,IL,60611,3129262000,96,3,1,97,88,9,3,92,88,10,2,95,87,10,3,94,2,1851,425,23,10/1/2017,9/30/2018
140290,ST ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,COOK,IL,60169,8478432000,,,,,,,,,,,,,,,,,4,,,,,
141316,CARLE HOOPESTON REGIONAL HEALTH CENTER,701 EAST ORANGE STREET,HOOPESTON,VERMILION,IL,60942,2172835531,100,0,0,100,97,2,1,98,89,10,1,95,91,8,1,97,3,202,68,34,10/1/2017,9/30/2018
141318,OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVENUE,MONMOUTH,WARREN,IL,61462,3097343141,99,1,0,99,94,5,1,96,88,11,1,95,81,19,0,94,,346,153,45,10/1/2017,9/30/2018
141329,MORRISON COMMUNITY HOSPITAL,303 N JACKSON STREET,MORRISON,WHITESIDE,IL,61270,8157724003,,,,,,,,,,,,,,,,,4,,,,,
141335,MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,MC HENRY,IL,60033,8159435431,97,3,0,98,90,8,2,94,80,17,3,92,74,23,3,90,,1210,346,29,10/1/2017,9/30/2018
141336,ST JOSEPH'S HOSPITAL,12866 TROXLER AVENUE,HIGHLAND,MADISON,IL,62249,6186512600,98,2,0,99,94,5,1,97,91,8,1,95,86,14,0,95,,1005,418,42,10/1/2017,9/30/2018
141337,PERRY MEMORIAL HOSPITAL,530 PARK AVENUE EAST,PRINCETON,BUREAU,IL,61356,8158752811,97,3,0,98,89,9,2,94,79,17,4,92,75,23,2,91,,912,321,36,10/1/2017,9/30/2018
141350,ST FRANCIS HOSPITAL,1215 FRANCISCAN DR,LITCHFIELD,MONTGOMERY,IL,62056,2173242191,99,1,0,99,95,4,1,97,91,8,1,96,85,14,1,95,,1681,562,33,10/1/2017,9/30/2018
150002,METHODIST HOSPITALS INC,600 GRANT ST,GARY,LAKE,IN,46402,2198864000,96,4,0,98,86,13,1,92,78,19,3,90,69,28,3,88,,1614,178,26,10/1/2017,9/30/2018
150004,FRANCISCAN ST. MARGARET HEALTH HAMMOND,5454 HOHMAN AVE,HAMMOND,LAKE,IN,46320,2199322300,96,4,0,98,87,10,3,92,81,15,4,92,74,23,3,90,,889,203,23,10/1/2017,9/30/2018
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,HENDRICKS,IN,46122,3177454451,97,3,0,98,90,8,2,94,90,8,2,95,92,7,1,97,,1473,287,20,10/1/2017,9/30/2018
150015,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,301 W HOMER ST,MICHIGAN CITY,LA PORTE,IN,46360,2198798511,98,2,0,99,90,8,2,94,86,11,3,94,85,13,2,94,,997,274,28,10/1/2017,9/30/2018
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,MONTGOMERY,IN,47933,7653622800,98,2,0,99,92,6,2,95,85,13,2,94,79,20,1,93,,1042,338,33,10/1/2017,9/30/2018
150023,UNION HOSPITAL INC,1606 N SEVENTH ST,TERRE HAUTE,VIGO,IN,47804,8122387606,97,3,0,99,91,8,1,95,88,10,2,95,84,14,2,94,,3711,1070,29,10/1/2017,9/30/2018
150024,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,MARION,IN,46202,3178804818,97,3,0,98,91,7,2,94,84,13,3,94,81,16,3,92,,2705,444,16,10/1/2017,9/30/2018
150030,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,HENRY,IN,47362,7655210890,98,2,0,99,95,4,1,97,91,8,1,96,85,13,2,94,,1780,635,37,10/1/2017,9/30/2018
150037,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,HANCOCK,IN,46140,3174625544,98,2,0,99,93,6,1,96,87,11,2,94,85,13,2,94,,1432,368,26,10/1/2017,9/30/2018
150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,KNOX,IN,47591,8128825220,98,2,0,99,92,7,1,95,88,12,0,96,87,13,0,96,2,1523,436,29,10/1/2017,9/30/2018
150045,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,DE KALB,IN,46706,2609254600,,,,,,,,,,,,,,,,,4,,,,,
150065,SCHNECK MEDICAL CENTER,411 W TIPTON ST,SEYMOUR,JACKSON,IN,47274,8125222349,98,2,0,99,93,6,1,96,89,9,2,95,85,14,1,94,,4050,1117,28,10/1/2017,9/30/2018
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,JEFFERSON,IN,47250,8128010105,97,2,1,98,91,8,1,95,83,13,4,92,74,24,2,90,,1555,454,29,10/1/2017,9/30/2018
150086,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,DEARBORN,IN,47025,8125371010,98,2,0,99,92,6,2,95,83,14,3,93,73,23,4,89,,1330,393,30,10/1/2017,9/30/2018
150090,FRANCISCAN HEALTH DYER,24 JOLIET ST,DYER,LAKE,IN,46311,2198652141,97,3,0,98,91,7,2,95,86,12,2,94,83,14,3,93,,799,227,30,10/1/2017,9/30/2018
150109,FRANCISCAN HEALTH LAFAYETTE,1701 S CREASY LN,LAFAYETTE,TIPPECANOE,IN,47905,7655024334,98,2,0,99,95,5,0,97,93,7,0,95,92,8,0,97,,583,187,35,10/1/2017,9/30/2018
150112,COLUMBUS REGIONAL HOSPITAL,2400 E 17TH ST,COLUMBUS,BARTHOLOMEW,IN,47201,8123794441,,,,,,,,,,,,,,,,,4,,,,,
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,DUBOIS,IN,47546,8129962345,98,2,0,99,91,8,1,95,86,13,1,94,84,16,0,94,,1595,503,38,10/1/2017,9/30/2018
150126,FRANCISCAN HEALTH CROWN POINT,1201 S MAIN ST,CROWN POINT,LAKE,IN,46307,2197576100,98,2,0,99,90,8,2,94,88,10,2,94,88,10,2,95,,733,236,33,10/1/2017,9/30/2018
150160,"INDIANA ORTHOPAEDIC HOSPITAL, LLC",8400 NORTHWEST BLVD,INDIANAPOLIS,MARION,IN,46278,3179561000,97,3,0,98,90,8,2,94,90,8,2,96,90,8,2,96,,1373,517,38,10/1/2017,9/30/2018
150162,FRANCISCAN HEALTH INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,MARION,IN,46237,3175285000,98,2,0,99,91,8,1,95,90,7,3,94,85,12,3,93,,914,192,24,10/1/2017,9/30/2018
150165,FRANCISCAN HEALTHCARE - MUNSTER,701 SUPERIOR AVE,MUNSTER,LAKE,IN,46321,2199224200,98,2,0,99,94,4,2,96,89,9,2,95,86,12,2,94,,723,227,32,10/1/2017,9/30/2018
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,LAKE,IN,46307,2197562100,,,,,,,,,,,,,,,,,4,,,,,
150182,FRANCISCAN HEALTH CARMEL,12188 B NORTH MERIDIAN STREET,CARMEL,HAMILTON,IN,46032,3177054500,99,1,0,100,96,4,0,98,96,4,0,99,96,4,0,99,2;3,69,26,39,10/1/2017,9/30/2018
151317,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,GREENE,IN,47441,8128472281,,,,,,,,,,,,,,,,,4,,,,,
151320,"INDIANA UNIVERSITY HEALTH JAY, INC.",500 W VOTAW ST,PORTLAND,JAY,IN,47371,2607267131,,,,,,,,,,,,,,,,,4,,,,,
151324,"FRANCISCAN HEALTH RENSSELAER, INC",1104 E GRACE ST,RENSSELAER,JASPER,IN,47978,2198665141,97,3,0,99,94,5,1,96,83,12,5,92,65,33,2,87,3,281,96,37,10/1/2017,9/30/2018
151326,UNION HOSPITAL CLINTON,801 S MAIN ST,CLINTON,VERMILLION,IN,47842,7658321234,98,1,1,99,93,6,1,96,87,8,5,94,87,10,3,94,3,247,77,31,10/1/2017,9/30/2018
151327,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN,SULLIVAN,IN,47882,8122684311,97,3,0,98,91,7,2,95,88,10,2,95,84,15,1,94,,810,277,35,10/1/2017,9/30/2018
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,ADAMS,IN,46733,2607242145,95,4,1,97,87,9,4,92,79,18,3,92,73,24,3,90,,1600,456,29,10/1/2017,9/30/2018
151332,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG,DECATUR,IN,47240,8126634331,98,1,1,99,90,8,2,94,87,11,2,94,79,20,1,92,,1238,346,29,10/1/2017,9/30/2018
160001,UNITYPOINT HEALTH-MARSHALLTOWN,3 S 4TH AVE,MARSHALLTOWN,MARSHALL,IA,50158,6417545151,97,3,0,98,92,7,1,95,85,12,3,94,81,17,2,93,,2586,1013,39,10/1/2017,9/30/2018
160008,UNITYPOINT HEALTH - KEOKUK,1600 MORGAN STREET,KEOKUK,LEE,IA,52632,3195247150,98,2,0,99,90,9,1,95,81,16,3,92,73,24,3,90,,450,192,43,10/1/2017,9/30/2018
160013,TRINITY MUSCATINE,1518 MULBERRY AVENUE,MUSCATINE,MUSCATINE,IA,52761,5632649100,98,2,0,99,94,5,1,97,83,13,4,93,76,22,2,91,,1417,343,24,10/1/2017,9/30/2018
160016,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,WEBSTER,IA,50501,5155733101,97,3,0,98,91,8,1,95,81,16,3,93,74,24,2,91,,3635,1069,30,10/1/2017,9/30/2018
160024,IOWA LUTHERAN HOSPITAL,700 EAST UNIVERSITY AVENUE,DES MOINES,POLK,IA,50316,5152635612,97,3,0,98,91,7,2,95,87,11,2,94,85,13,2,94,,3605,1086,30,10/1/2017,9/30/2018
160045,ST LUKES HOSPITAL,1026 A AVE NE,CEDAR RAPIDS,LINN,IA,52402,3193697211,97,3,0,99,91,7,2,95,85,12,3,94,84,14,2,94,,2653,816,31,10/1/2017,9/30/2018
160047,METHODIST JENNIE EDMUNDSON,933 EAST PIERCE STREET,COUNCIL BLUFFS,POTTAWATTAMIE,IA,51503,7123966000,,,,,,,,,,,,,,,,,4,,,,,
160064,MERCY MEDICAL CENTER-NORTH IOWA,1000 FOURTH STREET SW,MASON CITY,CERRO GORDO,IA,50401,6414287000,,,,,,,,,,,,,,,,,4,,,,,
160079,MERCY MEDICAL CENTER - CEDAR RAPIDS,701 10TH STREET SE,CEDAR RAPIDS,LINN,IA,52403,3193986011,97,3,0,98,92,6,2,95,88,9,3,95,89,10,1,96,,2848,909,32,10/1/2017,9/30/2018
160082,IOWA METHODIST MEDICAL CENTER,1200 PLEASANT STREET,DES MOINES,POLK,IA,50309,5152416212,97,3,0,98,89,9,2,94,84,13,3,93,83,15,2,93,,10006,3010,30,10/1/2017,9/30/2018
160104,TRINITY - BETTENDORF,4500 UTICA RIDGE ROAD,BETTENDORF,SCOTT,IA,52722,5637425000,95,4,1,97,89,8,3,93,83,13,4,93,81,16,3,92,,2010,457,24,10/1/2017,9/30/2018
160110,ALLEN HOSPITAL,1825 LOGAN AVENUE,WATERLOO,BLACK HAWK,IA,50703,3192353941,97,3,0,98,91,7,2,95,85,13,2,94,83,16,1,94,,6331,2195,35,10/1/2017,9/30/2018
160112,SPENCER MUNICIPAL HOSPITAL,1200 1ST AVENUE EAST,SPENCER,CLAY,IA,51301,7122648300,98,2,0,99,91,7,2,95,87,11,2,94,84,15,1,94,,1244,508,41,10/1/2017,9/30/2018
160117,FINLEY HOSPITAL,350 NORTH GRANDVIEW AVENUE,DUBUQUE,DUBUQUE,IA,52001,5635821881,98,2,0,99,91,8,1,95,86,12,2,94,81,17,2,93,,3687,1483,41,10/1/2017,9/30/2018
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,LEE,IA,52627,3193726530,97,3,0,98,94,5,1,97,86,11,3,94,83,15,2,93,2,402,173,43,10/1/2017,9/30/2018
160146,ST LUKES REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,SIOUX CITY,WOODBURY,IA,51104,7122793500,,,,,,,,,,,,,,,,,4,,,,,
161334,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,HUMBOLDT,IA,50548,5153324200,98,2,0,99,88,9,3,92,83,15,2,93,73,25,2,90,,683,228,34,10/1/2017,9/30/2018
161339,WAVERLY HEALTH CENTER,312 9TH STREET SW,WAVERLY,BREMER,IA,50677,3193524120,98,2,0,99,94,5,1,96,88,9,3,94,84,15,1,95,,427,118,47,10/1/2017,9/30/2018
161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,WASHINGTON,IA,52353,3196535481,,,,,,,,,,,,,,,,,4,,,,,
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,CLARKE,IA,50213,6413422184,97,3,0,99,91,8,1,95,83,15,2,93,78,21,1,92,,340,122,36,10/1/2017,9/30/2018
161355,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,MARION,IA,50138,6418422151,98,2,0,99,92,6,2,95,92,6,2,95,76,21,3,90,3,161,74,46,10/1/2017,9/30/2018
161356,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,HENRY,IA,52641,3193853141,97,3,0,98,96,3,1,97,89,10,1,95,82,17,1,94,,1085,525,48,10/1/2017,9/30/2018
161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE ROAD,CRESTON,UNION,IA,50801,6417827091,98,2,0,99,94,5,1,96,88,11,1,95,83,16,1,94,,1530,568,37,10/1/2017,9/30/2018
161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,BOONE,IA,50036,5154323140,,,,,,,,,,,,,,,,,4,,,,,
161373,RINGGOLD COUNTY HOSPITAL,504 NORTH CLEVELAND STREET,MOUNT AYR,RINGGOLD,IA,50854,6414643226,98,2,0,99,95,4,1,97,89,11,0,95,89,11,0,96,3,234,60,26,10/1/2017,9/30/2018
161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC,CASS,IA,50022,7122433250,,,,,,,,,,,,,,,,,4,,,,,
170013,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,HAYS,ELLIS,KS,67601,7856235000,,,,,,,,,,,,,,,,,4,,,,,
170016,UNIVERSITY OF KANSAS HEALTH SYSTEM - ST FRANCIS CAMPUS,1700 SW 7TH STREET,TOPEKA,SHAWNEE,KS,66606,7852958000,,,,,,,,,,,,,,,,,4,,,,,
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,EL DORADO,BUTLER,KS,67042,3163213300,97,3,0,98,89,9,2,93,83,14,3,93,77,21,2,92,2,1438,409,28,10/1/2017,9/30/2018
170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,GARDEN CITY,FINNEY,KS,67846,6202722222,96,4,0,98,89,8,3,93,79,17,4,92,73,25,2,90,,1758,466,27,10/1/2017,9/30/2018
170027,PRATT REGIONAL MEDICAL CENTER,200 COMMODORE ST,PRATT,PRATT,KS,67124,6204501160,,,,,,,,,,,,,,,,,4,,,,,
170039,SUMNER REGIONAL MEDICAL CENTER,1323 NORTH A STREET,WELLINGTON,SUMNER,KS,67152,6203267451,,,,,,,,,,,,,,,,,4,,,,,
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,JOHNSON,KS,66061,9137914200,,,,,,,,,,,,,,,,,4,,,,,
170075,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,MCPHERSON,KS,67107,6203456391,,,,,,,,,,,,,,,,,4,,,,,
170109,MIAMI COUNTY MEDICAL CENTER,2100 BAPTISTE DRIVE,PAOLA,MIAMI,KS,66071,9135574385,,,,,,,,,,,,,,,,,4,,,,,
170145,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",1400 W 4TH ST,COFFEYVILLE,MONTGOMERY,KS,67337,6202511200,98,2,0,99,92,7,1,95,79,18,3,92,73,24,3,90,,1091,350,32,10/1/2017,9/30/2018
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD,JOHNSON,KS,66211,9133197633,,,,,,,,,,,,,,,,,4,,,,,
171341,HIAWATHA COMMUNITY HOSPITAL,300 UTAH STREET,HIAWATHA,BROWN,KS,66434,7857422131,,,,,,,,,,,,,,,,,4,,,,,
171383,WILLIAM NEWTON HOSPITAL,1300 EAST FIFTH AVENUE,WINFIELD,COWLEY,KS,67156,6202212300,98,2,0,99,93,6,1,96,90,7,3,94,83,15,2,93,2,825,296,36,10/1/2017,9/30/2018
180009,KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,BOYD,KY,41101,6064084401,97,3,0,98,90,8,2,94,82,14,4,93,79,19,2,92,,2359,448,19,10/1/2017,9/30/2018
180012,HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,HARDIN,KY,42701,2707371212,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,,2357,692,30,10/1/2017,9/30/2018
180018,ST CLAIRE REGIONAL MEDICAL CENTER,222 MEDICAL CIRCLE,MOREHEAD,ROWAN,KY,40351,6067836502,,,,,,,,,,,,,,,,,4,,,,,
180035,ST ELIZABETH EDGEWOOD,1 MEDICAL VILLAGE DRIVE,EDGEWOOD,KENTON,KY,41017,8593012000,97,2,1,98,90,7,3,93,88,10,2,95,89,9,2,95,,1147,333,30,10/1/2017,9/30/2018
180038,OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,DAVIESS,KY,42303,2704172000,97,3,0,98,92,6,2,95,85,13,2,94,83,15,2,94,,3334,897,28,10/1/2017,9/30/2018
180044,PIKEVILLE MEDICAL CENTER,911 BYPASS ROAD,PIKEVILLE,PIKE,KY,41501,6062183500,,,,,,,,,,,,,,,,,4,,,,,
180051,JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,HOPKINSVILLE,CHRISTIAN,KY,42240,2708870100,,,,,,,,,,,,,,,,,4,,,,,
180056,METHODIST HOSPITAL,1305 N ELM ST,HENDERSON,HENDERSON,KY,42420,2708277700,,,,,,,,,,,,,,,,,4,,,,,
180067,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,FAYETTE,KY,40536,8592572278,96,4,0,98,91,8,1,95,88,10,2,95,86,12,2,94,,1640,376,23,10/1/2017,9/30/2018
180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,HARRISON,KY,41031,8592342300,98,2,0,99,89,9,2,93,86,12,2,94,80,19,1,93,,1749,582,33,10/1/2017,9/30/2018
