Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude,Review Score,Hip and Knee Replacement Score,Hip and Knee Replacement Lower,Hip and Knee Replacement Upper,Heart Failure Death Score,Heart Failure Death Lower,Heart Failure Death Upper,Blood clots post surgery Score,Blood clots post surgery Lower,Blood clots post surgery Upper,Heart Attack Death Score,Heart Attack Death Lower,Heart Attack Death Upper,Post surgery Sepsis Score,Post surgery Sepsis Lower,Post surgery Sepsis Upper,Postop Respiratory Failure Score,Postop Respiratory Failure Lower,Postop Respiratory Failure Upper,Postop Dialysis need Score,Postop Dialysis need Lower,Postop Dialysis need Upper,Surgical Complication Deaths Score,Surgical Complication Deaths Lower,Surgical Complication Deaths Upper,Pneumonia death Score,Pneumonia death Lower,Pneumonia death Upper,Stroke death Score,Stroke death Lower,Stroke death Upper,Num_OB/GYN,Num_Ortho,Num_Pediatric,Num_Addiction,Num_Prev_Care,Num_Assist
050014,SUTTER AMADOR HOSPITAL,CA,95642,38.349561,-120.765905,,2.9,1.7,5.0,12.8,9.6,17.0,5.11,2.42,7.80,Not Available,Not Available,Not Available,5.50,1.7,9.31,6.95,0.07,13.84,1.27,0,2.71,Not Available,Not Available,Not Available,16.7,13.3,20.8,16.2,12.6,20.2,4,13,0,0,29,21
050017,MERCY GENERAL HOSPITAL,CA,95819,38.569385,-121.452482,,4.2,2.6,6.5,12.3,9.7,15.5,4.84,2.92,6.75,11.6,9.4,14.0,5.62,2.86,8.37,10.03,4.65,15.41,1.46,0.45,2.48,137.49,100.61,174.36,14.3,11.5,17.3,13.4,10.2,17.4,10,31,0,2,22,100
050022,RIVERSIDE COMMUNITY HOSPITAL,CA,92501,33.975677000000005,-117.380374,,3.2,1.8,5.6,9.7,7.4,12.4,2.96,0.80,5.11,14.7,11.9,18.2,4.21,0.88,7.53,8.53,2.65,14.4,1.08,0,2.41,201.02,160.31,241.74,15.5,13.0,18.2,13.6,10.6,17.2,4,13,6,3,22,82
050024,PARADISE VALLEY HOSPITAL,CA,91950,32.686336,-117.083243,,2.8,1.5,4.7,9.1,6.8,12.1,3.59,0.92,6.26,13.1,10.2,16.4,6.44,2.58,10.3,6.98,0,14.91,1.25,0,2.69,Not Available,Not Available,Not Available,16.3,13.9,19.0,12.5,9.3,16.2,0,13,0,0,7,9
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,CA,92103,32.753717,-117.165914,,1.7,1.1,2.7,10.1,8.1,12.6,6.24,4.77,7.72,11,8.6,14.0,5.01,3.01,7,5.21,1.94,8.48,0.93,0.06,1.81,140.41,111.15,169.68,12.6,10.5,14.9,13.4,10.7,16.6,48,35,12,0,57,408
050026,GROSSMONT HOSPITAL,CA,91942,32.779435,-117.009178,,2.1,1.3,3.3,11.1,9.2,13.4,3.44,1.68,5.20,13.3,10.7,16.5,5.44,2.52,8.36,7.68,2.99,12.37,1.22,0,2.44,174.31,138.37,210.24,17.3,15.2,19.7,14.3,11.8,17.1,4,37,0,0,55,150
050028,MAD RIVER COMMUNITY HOSPITAL,CA,95521,40.903309,-124.090847,,,Not Available,Not Available,10.5,7.2,15.2,3.96,1.15,6.77,Not Available,Not Available,Not Available,5.81,1.9,9.72,6.96,0,14.87,1.29,0,2.75,Not Available,Not Available,Not Available,14.3,10.7,18.7,13.6,9.8,18.1,8,26,0,1,67,52
050030,OROVILLE HOSPITAL,CA,95966,39.504535,-121.542106,,3.1,2.0,4.7,7,5.5,9.0,3.03,0.96,5.10,12.1,9.6,14.9,9.60,6.58,12.62,5.46,0.41,10.51,2.23,0.87,3.59,161.77,116.08,207.46,9.5,8.1,11.0,10.3,8.0,13.1,43,28,3,1,149,89
050036,BAKERSFIELD MEMORIAL HOSPITAL,CA,93301,35.390474,-119.006836,,2.1,1.2,3.4,15.4,12.2,19.0,2.40,0.21,4.58,15.7,12.7,19.2,4.52,1.28,7.76,8.41,2.56,14.26,1.01,0,2.3,202.89,160.43,245.34,19.2,15.7,23.1,16.6,12.8,21.2,2,8,0,0,4,57
050038,SANTA CLARA VALLEY MEDICAL CENTER,CA,95128,37.313702,-121.931888,,,Not Available,Not Available,10.5,7.4,14.8,4.26,1.80,6.72,13.8,10.4,18.3,4.89,1.3,8.47,9.23,2.66,15.81,1.18,0,2.57,169.03,125.49,212.57,20.6,16.1,26.0,16,12.0,20.9,24,9,0,1,56,59
050039,ENLOE MEDICAL CENTER,CA,95926,39.742284000000005,-121.849128,,2.4,1.7,3.5,12.9,10.9,15.2,3.85,2.18,5.51,14.7,12.4,17.4,3.82,1.01,6.62,5.62,1.15,10.09,1.45,0.25,2.65,144.45,106.03,182.88,17.3,15.4,19.5,15.1,12.6,18.1,25,34,0,1,47,133
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,CA,91342,34.325912,-118.445513,,,Not Available,Not Available,11.6,7.7,17.0,4.66,1.80,7.52,Not Available,Not Available,Not Available,4.92,1.05,8.78,8.78,0.99,16.57,1.29,0,2.76,Not Available,Not Available,Not Available,16.1,12.2,20.7,Not Available,Not Available,Not Available,0,6,3,0,1,4
050042,ST ELIZABETH COMMUNITY HOSPITAL,CA,96080,40.148834,-122.218303,,2.3,1.3,4.0,14,10.5,17.9,3.02,0.38,5.66,Not Available,Not Available,Not Available,4.75,0.95,8.55,6.20,0,13.67,1.29,0,2.74,Not Available,Not Available,Not Available,17.9,14.4,21.8,16.2,12.2,21.2,5,5,0,0,19,20
050043,ALTA BATES SUMMIT MEDICAL CENTER,CA,94609,37.820784,-122.26328,,2.7,1.7,4.3,8.6,6.8,10.8,3.91,1.97,5.84,12.2,10.0,14.8,4.82,2.06,7.57,7.67,2.73,12.61,1.21,0.12,2.31,155.61,113.63,197.6,14.5,12.3,16.9,12.2,9.7,15.0,23,22,0,0,65,172
050045,EL CENTRO REGIONAL MEDICAL CENTER,CA,92243,32.781498,-115.56862,89.0,2.6,1.5,4.4,10.2,7.7,13.4,4.52,1.86,7.18,12.1,9.5,15.4,5.71,1.83,9.59,6.61,0,14.32,1.30,0,2.76,Not Available,Not Available,Not Available,15.5,13.2,18.2,14.1,10.8,17.9,4,6,0,2,35,34
050047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,CA,94115,37.791321,-122.430983,,2.3,1.6,3.2,10.1,8.1,12.3,5.07,3.47,6.66,13.7,11.0,16.7,6.19,4.02,8.37,6.91,3.69,10.13,1.32,0.28,2.36,143.05,106.92,179.18,13.7,11.4,16.5,12.9,10.4,15.7,76,30,0,0,42,180
050054,SAN GORGONIO MEMORIAL HOSPITAL,CA,92220,33.932829,-116.94673200000001,,2.5,1.4,4.6,10.1,7.1,14.0,4.22,1.32,7.12,13,10.0,16.6,5.18,1.21,9.14,7.57,0,15.82,1.31,0,2.78,Not Available,Not Available,Not Available,19.1,15.2,23.8,Not Available,Not Available,Not Available,2,1,0,0,15,8
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,CA,94110,37.74805,-122.420987,,2.4,1.3,4.3,10,7.2,13.5,4.76,2.03,7.49,Not Available,Not Available,Not Available,5.52,1.71,9.33,7.89,0.53,15.26,1.66,0.23,3.08,Not Available,Not Available,Not Available,13,9.8,17.0,14.1,10.4,18.8,3,12,0,0,12,51
050056,ANTELOPE VALLEY HOSPITAL,CA,93534,34.689371,-118.158476,,,Not Available,Not Available,14.6,11.3,19.3,2.91,0.65,5.17,13.6,10.7,17.1,6.39,2.92,9.86,14.26,8.39,20.12,1.19,0,2.58,170.81,127.13,214.48,23,19.6,26.7,16,12.5,20.2,7,7,0,0,16,41
050057,KAWEAH DELTA MEDICAL CENTER,CA,93291,36.327415,-119.294172,,2.6,1.7,3.9,12.3,10.6,14.2,4.03,2.24,5.83,12.3,10.4,14.5,5.03,2.1,7.96,3.62,0,8.61,1.14,0,2.33,188.48,150.6,226.37,16.5,14.8,18.4,13.3,10.8,16.1,12,11,4,2,65,116
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,CA,91204,34.127789,-118.257795,,2.3,1.4,3.9,8.4,6.5,10.6,3.16,0.81,5.52,11.9,9.3,14.9,4.91,1.53,8.28,4.14,0,10.24,1.37,0.07,2.68,156.34,108.32,204.35,14.9,12.7,17.2,11.9,8.9,15.4,2,10,0,0,27,23
050060,COMMUNITY REGIONAL MEDICAL CENTER,CA,93721,36.742583,-119.783023,,3.4,1.9,5.8,12.2,9.9,15.1,3.31,1.73,4.90,11.8,9.5,14.5,6.11,3.95,8.27,10.59,7.12,14.07,0.60,0,1.46,195.05,164.92,225.18,16.1,13.8,18.9,17.4,14.8,20.3,17,20,4,2,44,156
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA,90027,34.096115999999995,-118.291753,88.0,2.5,1.4,4.4,8.8,6.7,11.6,4.97,2.64,7.31,12.4,10.1,15.4,5.96,2.47,9.45,10.60,4.12,17.09,1.17,0,2.56,157.86,113.3,202.42,12.4,10.3,14.7,13.4,10.3,17.1,2,2,0,0,12,22
050067,OAK VALLEY HOSPITAL DISTRICT,CA,95361,37.758098,-120.860363,,,Not Available,Not Available,11.5,7.7,16.7,3.77,0.82,6.72,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.3,12.7,23.0,Not Available,Not Available,Not Available,0,3,0,0,10,9
050069,ST JOSEPH HOSPITAL,CA,92868,33.782399,-117.866093,,2.5,1.6,4.0,13,10.6,15.8,3.31,1.47,5.15,13.9,11.2,17.1,5.16,2.51,7.81,10.92,6.93,14.91,1.11,0,2.29,165.61,124.88,206.34,17.9,15.4,20.5,14.4,11.4,17.4,12,20,4,2,18,129
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,CA,94080,37.658376000000004,-122.439205,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.60,0.72,6.48,Not Available,Not Available,Not Available,4.94,1.07,8.82,6.18,0,13.64,1.29,0,2.75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,CA,95051,37.335456,-121.995767,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.69,0.98,6.40,Not Available,Not Available,Not Available,4.29,0.68,7.9,7.90,0.52,15.27,1.08,0,2.41,Not Available,Not Available,Not Available,17.4,12.5,23.4,Not Available,Not Available,Not Available,0,8,0,0,2,6
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CA,94596,37.891512,-122.057943,,,Not Available,Not Available,Not Available,Not Available,Not Available,4.08,1.23,6.94,Not Available,Not Available,Not Available,4.93,1.06,8.8,Not Available,Not Available,Not Available,1.28,0,2.73,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,12,0,0,2,0
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,CA,94589,38.128437,-122.247586,,,Not Available,Not Available,13.5,9.5,18.9,3.78,1.04,6.52,12.7,9.5,16.8,4.60,0.86,8.33,7.68,0.46,14.9,1.26,0,2.7,Not Available,Not Available,Not Available,15.4,11.0,21.0,13.5,9.9,17.7,2,9,0,0,9,0
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,CA,94611,37.823857000000004,-122.257589,,,Not Available,Not Available,11.1,7.8,15.6,4.29,1.70,6.88,13.3,10.1,17.4,5.08,1.43,8.74,7.08,0.1,14.07,1.61,0.2,3.02,Not Available,Not Available,Not Available,16,12.4,20.0,14.8,11.6,18.7,2,18,2,2,5,10
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,CA,94115,37.782778,-122.443222,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.11,0.44,5.79,Not Available,Not Available,Not Available,4.49,1.06,7.92,5.11,0,11.89,1.04,0,2.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4,8,0,0,0,2
050077,SCRIPPS MERCY HOSPITAL,CA,92103,32.751211,-117.161024,91.0,3.2,2.1,4.9,10.3,8.1,12.8,5.77,3.90,7.63,14.2,11.5,17.2,7.86,4.89,10.84,10.91,5.98,15.84,1.27,0.02,2.53,164.37,128.33,200.41,14.4,12.3,16.5,12.8,10.1,15.7,7,49,3,0,75,101
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,CA,90732,33.737928000000004,-118.305005,91.0,3.5,2.1,6.0,11.3,8.2,15.2,3.32,0.56,6.09,Not Available,Not Available,Not Available,4.85,1.01,8.69,5.85,0,13.1,1.29,0,2.75,Not Available,Not Available,Not Available,15.5,12.3,19.4,15.7,11.9,20.2,4,5,0,0,27,14
050082,ST JOHNS REGIONAL MEDICAL CENTER,CA,93030,34.216555,-119.158351,,2.3,1.4,3.8,8.9,7.0,11.1,3.64,1.47,5.82,12.8,10.4,15.9,6.83,3.78,9.87,7.33,1.46,13.2,1.15,0,2.35,165.00,126.43,203.58,14.5,12.2,17.1,11.5,8.9,14.7,0,17,2,0,3,63
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,CA,95204,37.970737,-121.289251,,2.8,1.6,5.0,10.9,8.7,13.6,3.43,1.48,5.37,13.2,10.8,15.9,6.65,3.64,9.66,8.09,2.36,13.81,1.41,0.23,2.59,151.69,117.17,186.22,18.1,15.7,20.8,14.7,11.8,18.2,18,13,0,1,54,18
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,CA,92411,34.131238,-117.322559,,,Not Available,Not Available,11.5,7.7,16.8,4.11,1.25,6.97,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.7,12.5,21.5,Not Available,Not Available,Not Available,0,5,0,0,2,8
050090,SONOMA VALLEY HOSPITAL,CA,95476,38.288564,-122.46585,,2.4,1.4,4.2,12.5,8.8,17.3,3.35,0.57,6.13,Not Available,Not Available,Not Available,4.93,1.06,8.8,8.47,0.82,16.12,1.29,0,2.75,Not Available,Not Available,Not Available,18.1,13.9,23.6,14.7,10.7,19.7,3,9,0,0,20,40
050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,CA,90255,33.989182,-118.22419,,,Not Available,Not Available,11.1,7.6,15.4,3.65,0.75,6.56,12.3,9.6,15.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.1,10.8,17.7,Not Available,Not Available,Not Available,0,3,0,0,6,1
050093,SAINT AGNES MEDICAL CENTER,CA,93710,36.837102,-119.765878,,2.3,1.5,3.5,11.4,9.8,13.2,3.22,1.57,4.88,12.8,10.8,15.2,4.94,2.26,7.63,8.42,3.91,12.93,1.17,0.1,2.25,187.36,151.82,222.89,18.5,16.9,20.3,14,11.9,16.3,21,25,0,0,64,79
050096,"WEST COVINA MEDICAL CENTER, INC",CA,91790,34.070928,-117.944166,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.78,0.83,6.73,Not Available,Not Available,Not Available,5.12,1.18,9.06,7.31,0,15.42,1.31,0,2.77,Not Available,Not Available,Not Available,13.7,9.7,18.8,Not Available,Not Available,Not Available,0,2,0,1,4,0
050099,SAN ANTONIO REGIONAL HOSPITAL,CA,91786,34.101079,-117.636862,,3.1,2.0,5.0,9.5,7.4,12.1,4.19,1.96,6.42,10.2,8.1,13.0,4.31,0.94,7.68,8.26,2.03,14.48,1.74,0.43,3.06,169.24,123.9,214.59,14.8,12.7,17.1,13.4,10.6,16.8,14,29,0,0,74,79
050100,SHARP MEMORIAL HOSPITAL,CA,92123,32.800255,-117.154133,,1.7,1.0,2.7,11.8,9.6,14.5,4.33,2.56,6.10,14.6,11.7,18.0,4.95,2.45,7.45,9.56,5.11,14.01,1.44,0.44,2.43,188.70,151.88,225.52,16.1,13.7,18.8,14.8,11.8,18.2,7,42,9,0,35,79
050101,SUTTER SOLANO MEDICAL CENTER,CA,94589,38.130893,-122.238105,,4.6,2.9,7.1,13.5,10.1,17.8,5.24,2.75,7.74,14.3,10.7,18.6,7.51,3.92,11.1,11.14,4.85,17.44,1.67,0.23,3.1,163.58,114.13,213.04,16.2,12.8,20.1,13.5,10.1,18.0,3,10,0,0,23,19
050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,CA,92503,33.925697,-117.440052,,2.0,1.2,3.4,12.8,9.2,17.1,3.54,0.88,6.19,12.6,9.4,16.6,4.93,1.06,8.8,10.13,2.58,17.68,1.72,0.26,3.19,Not Available,Not Available,Not Available,15.8,13.0,18.9,15.3,11.4,19.7,0,13,0,0,7,19
050103,WHITE MEMORIAL MEDICAL CENTER,CA,90033,34.05038,-118.211991,,2.4,1.3,4.2,9.1,6.5,12.5,3.74,1.32,6.16,11.9,9.4,14.9,4.21,0.63,7.78,8.69,2.29,15.09,1.56,0.17,2.95,149.13,104.64,193.62,10.6,8.3,13.1,12,9.0,15.8,6,30,2,0,28,41
050104,SAINT FRANCIS MEDICAL CENTER,CA,90262,33.931016,-118.203834,83.0,,Not Available,Not Available,9.1,6.6,12.6,3.29,0.73,5.85,13.8,10.7,17.1,4.93,1.06,8.79,9.08,1.18,16.99,1.25,0,2.69,154.17,111.48,196.86,13.9,11.0,17.1,14.6,11.1,18.9,1,6,2,0,5,30
050107,MARIAN REGIONAL MEDICAL CENTER,CA,93454,34.952117,-120.412494,,2.0,1.4,2.9,16.7,13.7,20.0,2.54,0.64,4.44,13.7,11.0,17.0,3.62,0.53,6.71,6.71,1.82,11.6,1.02,0,2.31,164.53,123.8,205.26,17.3,15.2,19.8,15.9,13.0,19.1,16,16,2,0,94,100
050108,"SUTTER MEDICAL CENTER, SACRAMENTO",CA,95816,38.570258,-121.469682,,1.8,1.3,2.7,12.6,10.3,15.3,4.42,2.88,5.97,12.2,10.0,14.7,5.35,3.27,7.43,6.81,3.29,10.34,1.06,0.3,1.83,157.96,125.35,190.56,16.5,14.2,19.3,13.7,11.2,16.7,24,49,1,0,296,91
050110,LOMPOC VALLEY MEDICAL CENTER,CA,93436,34.640639,-120.439899,,2.6,1.5,4.6,13.6,10.1,18.0,3.86,1.09,6.64,12.8,9.9,16.2,5.59,1.75,9.43,6.43,0,14.04,1.29,0,2.75,Not Available,Not Available,Not Available,18.1,14.5,22.6,14.3,10.6,18.9,9,7,0,0,18,15
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,90404,34.027776,-118.486315,94.0,2.8,1.9,4.2,8.2,6.4,10.4,3.16,1.22,5.09,12.5,9.9,15.3,8.05,4.95,11.15,6.55,1.72,11.39,1.09,0,2.42,139.68,100.23,179.13,11.8,10.1,13.7,11,8.4,14.2,19,58,82,0,131,215
050113,SAN MATEO MEDICAL CENTER,CA,94403,37.530116,-122.299406,,,Not Available,Not Available,10.7,7.0,16.9,3.66,0.76,6.57,Not Available,Not Available,Not Available,5.15,1.19,9.1,7.63,0,15.91,1.31,0,2.78,Not Available,Not Available,Not Available,15.4,10.9,21.4,Not Available,Not Available,Not Available,4,6,0,0,9,36
050115,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,92025,33.125937,-117.076186,,1.7,1.1,2.7,11,9.0,13.5,3.67,1.66,5.68,14.9,12.1,18.0,5.09,1.83,8.34,5.54,0,11.12,1.75,0.43,3.07,164.28,121.33,207.24,14.4,12.2,16.7,15.6,12.9,18.8,4,30,2,0,30,88
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,91325,34.220789,-118.533216,,3.8,2.7,5.5,10.3,8.2,12.8,3.05,0.86,5.23,10.7,8.7,13.0,5.67,2.25,9.1,15.22,9.18,21.27,1.11,0,2.46,160.64,117.29,203.99,14.1,12.0,16.8,13.8,11.1,17.1,8,14,0,2,31,25
050118,DOCTORS HOSPITAL OF MANTECA,CA,95336,37.801087,-121.19691,,2.3,1.3,4.1,13.1,10.0,17.2,3.81,1.06,6.57,13.9,10.6,17.9,5.11,1.17,9.05,7.32,0,15.44,1.31,0,2.78,Not Available,Not Available,Not Available,15.6,12.3,19.5,15.1,11.4,19.9,4,5,0,0,22,15
050121,ADVENTIST HEALTH HANFORD,CA,93230,36.323877,-119.669005,,2.7,1.7,4.1,11.2,8.9,13.9,2.74,0.40,5.07,12.6,9.9,15.7,5.49,1.91,9.06,6.53,0.48,12.58,1.22,0,2.63,170.58,122.65,218.51,19.3,16.6,22.4,13.2,10.2,16.8,8,8,0,0,50,60
050122,DAMERON HOSPITAL,CA,95203,37.961201,-121.300691,,2.8,1.9,4.1,16,12.0,20.9,3.43,0.97,5.88,12.8,9.7,16.7,5.09,1.43,8.75,8.69,2.27,15.11,1.22,0,2.63,163.17,115.3,211.04,15.8,12.4,20.0,16.3,11.8,22.2,0,30,0,0,16,13
050124,USC VERDUGO HILLS HOSPITAL,CA,91209,34.205614000000004,-118.216048,,2.3,1.3,3.8,9.9,7.3,13.2,3.71,1.16,6.26,13.9,10.7,17.5,5.26,1.54,8.98,7.51,0.3,14.72,1.26,0,2.71,Not Available,Not Available,Not Available,15.3,12.9,18.2,14,10.6,18.2,6,27,2,0,31,46
050125,REGIONAL MEDICAL CENTER OF SAN JOSE,CA,95116,37.363787,-121.848823,,2.9,1.6,5.3,10,8.0,12.6,3.54,1.30,5.78,12.6,10.0,15.6,6.96,3.35,10.57,14.14,7.06,21.22,1.06,0,2.39,182.44,145.27,219.6,16.2,14.2,18.6,15.9,13.0,19.2,2,19,0,0,3,56
050126,VALLEY PRESBYTERIAN HOSPITAL,CA,91406,34.193917,-118.463271,,2.2,1.5,3.2,8.8,6.6,11.8,5.89,3.59,8.19,11.3,8.9,14.2,6.48,2.98,9.97,8.54,2.67,14.41,1.96,0.57,3.36,164.90,123.71,206.08,15,12.5,17.8,12,9.1,15.6,1,15,0,0,6,22
050127,WOODLAND MEMORIAL HOSPITAL,CA,95695,38.664344,-121.793403,,2.2,1.2,3.8,12.5,8.9,17.6,5.07,2.39,7.75,14.2,10.6,18.3,4.76,0.96,8.56,9.24,2.03,16.45,1.29,0,2.75,Not Available,Not Available,Not Available,20,15.8,25.1,14.9,11.1,19.3,6,5,0,0,26,29
050128,TRI-CITY MEDICAL CENTER,CA,92056,33.183783,-117.290918,,2.6,1.6,3.9,11.9,9.5,15.0,4.52,2.37,6.68,11.9,9.4,14.9,5.32,1.99,8.64,9.61,4.35,14.87,1.14,0,2.51,160.61,114.67,206.56,17.8,15.2,20.9,15.2,12.3,18.6,9,24,1,0,27,43
050129,ST BERNARDINE MEDICAL CENTER,CA,92404,34.134331,-117.27876,,3.8,2.5,5.9,11.5,8.2,15.8,4.55,2.22,6.88,15.5,12.1,19.6,6.35,3.05,9.65,10.08,4.09,16.06,1.25,0.01,2.5,170.46,125.78,215.14,16.5,13.0,20.5,16.4,12.5,21.4,0,18,0,0,17,74
050131,NOVATO COMMUNITY HOSPITAL,CA,94945,38.098077,-122.55966,,2.4,1.5,3.8,12,8.8,15.9,3.13,0.44,5.81,12.9,9.7,16.8,5.38,1.62,9.15,5.84,0,13.08,1.28,0,2.74,Not Available,Not Available,Not Available,12.6,9.9,16.0,12.8,9.5,17.1,8,21,0,0,21,55
050132,SAN GABRIEL VALLEY MEDICAL CENTER,CA,91776,34.102461,-118.105572,89.0,2.9,1.6,5.0,8.3,6.5,10.4,2.77,0.24,5.29,11.7,9.1,14.7,5.33,1.58,9.07,7.63,0.4,14.87,1.26,0,2.71,165.48,115.91,215.05,10.3,8.9,12.0,12.7,9.9,16.2,1,10,2,0,15,43
050133,RIDEOUT MEMORIAL HOSPITAL,CA,95901,39.138832,-121.593622,84.0,3.3,2.0,5.3,13.6,11.6,16.1,6.43,4.33,8.54,14.6,12.0,17.6,4.40,1,7.81,10.94,4.27,17.6,0.99,0,2.27,200.07,158.85,241.29,18,16.0,20.3,15.4,12.5,18.7,2,24,3,0,73,40
050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,CA,90028,34.096191999999995,-118.325371,,,Not Available,Not Available,7.1,5.1,9.6,2.55,0.13,4.97,11.3,8.9,14.1,5.36,1.62,9.11,5.11,0,11.89,1.67,0.23,3.12,154.67,107.6,201.73,9,7.6,10.6,11,8.4,14.1,0,4,0,1,11,35
050136,PETALUMA VALLEY HOSPITAL,CA,94954,38.253183,-122.63286,,2.9,1.7,5.0,9.5,7.2,12.4,4.03,1.37,6.69,12.5,9.8,15.7,4.58,0.85,8.3,7.61,0.4,14.81,1.27,0,2.72,Not Available,Not Available,Not Available,14.4,11.6,17.8,13.5,10.0,17.7,7,5,0,0,20,34
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,CA,91402,34.219846999999994,-118.430299,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.60,0.72,6.48,Not Available,Not Available,Not Available,4.86,1.02,8.7,9.21,1.27,17.16,1.28,0,2.73,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,14,0,0,5,6
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,CA,90027,34.098141,-118.294825,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.57,0.90,6.24,Not Available,Not Available,Not Available,4.31,0.69,7.92,7.54,0.34,14.75,1.09,0,2.43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.9,10.3,18.5,4,32,7,0,49,69
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,CA,90242,33.917101,-118.128998,,,Not Available,Not Available,Not Available,Not Available,Not Available,3.51,0.67,6.36,Not Available,Not Available,Not Available,4.90,1.05,8.76,8.86,1.04,16.69,1.28,0,2.74,Not Available,Not Available,Not Available,16.3,11.9,21.0,Not Available,Not Available,Not Available,5,37,4,0,5,39
050140,KAISER FOUNDATION HOSPITAL FONTANA,CA,92335,34.072271,-117.433458,,,Not Available,Not Available,10.7,7.2,15.3,4.49,1.84,7.14,14.6,10.8,19.4,5.47,1.68,9.26,6.38,0,13.96,1.20,0,2.61,Not Available,Not Available,Not Available,14.7,10.9,19.2,17,12.8,21.8,0,32,0,0,14,29
050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,CA,93940,36.57485,-121.840727,,3.2,2.3,4.5,12,9.7,14.6,5.25,3.39,7.11,13.5,10.9,16.6,5.57,2.91,8.23,7.38,2.99,11.77,1.56,0.42,2.7,145.74,106.26,185.21,16.1,14.3,18.2,12.1,9.9,14.9,10,22,3,3,84,73
050149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,CA,90015,34.037212,-118.265363,,,Not Available,Not Available,9.4,6.4,13.5,3.73,1.01,6.46,12.3,9.0,16.8,4.96,1.08,8.84,9.27,1.27,17.27,1.28,0,2.74,Not Available,Not Available,Not Available,13.9,10.5,17.8,13.9,10.4,18.2,2,7,0,0,4,18
050150,SIERRA NEVADA MEMORIAL HOSPITAL,CA,95945,39.228949,-121.04726399999998,,2.4,1.5,4.0,13.2,10.6,16.6,3.22,0.69,5.75,14,10.9,17.5,5.30,1.57,9.04,7.15,0.13,14.17,1.26,0,2.7,162.10,112.37,211.84,16.1,13.4,19.2,15.4,12.4,19.1,8,32,0,0,15,23
050152,SAINT FRANCIS MEMORIAL HOSPITAL,CA,94109,37.789561,-122.41711200000002,,2.1,1.4,3.3,10,7.3,13.8,2.68,0.20,5.17,Not Available,Not Available,Not Available,5.72,2.07,9.36,6.35,0,12.97,1.26,0,2.71,151.67,101.78,201.57,15,12.4,18.2,13.1,10.1,16.8,1,25,0,1,6,18
