Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"650 Joel Drive, Fort Campbell, KY, 42223",36.637435,-87.447583,1,range_interpolation,650,"Joel Dr","Fort Campbell",KY,,42223,US,"TIGER/Line® dataset from the US Census Bureau"
"800 ZORN AVENUE, LOUISVILLE, KY, 40206",38.270629,-85.697319,1,rooftop,800,"Zorn Ave",Louisville,KY,"Jefferson County",40206,US,"Metro Louisville,  LOJIC partners"
"1101 VETERANS DRIVE, LEXINGTON, KY, 40502",38.029296,-84.50668,1,rooftop,1101,"Veterans Dr",Lexington,KY,"Fayette County",40502,US,"Lexington Fayette"
"2400 CANAL STREET, NEW ORLEANS, LA, 70119",29.963081,-90.084705,1,rooftop,2400,"Canal St","New Orleans",LA,"Orleans Parish",70119,US,"Orleans Parish"
"1585 3rd Street Fort Polk, Fort Polk, LA, 71459",31.063867,-93.211461,1,range_interpolation,1585,"3rd St",Leesville,LA,"Vernon Parish",71459,US,"TIGER/Line® dataset from the US Census Bureau"
"2495 SHREVEPORT HIGHWAY 71 N, PINEVILLE, LA, 71360",31.354976,-92.437746,1,rooftop,2495,"Shreveport Hwy",Pineville,LA,"Rapides Parish",71360,US,Rapides
"510 EAST STONER AVENUE, SHREVEPORT, LA, 71101",32.500138,-93.722968,1,range_interpolation,510,"E Stoner Ave",Shreveport,LA,"Caddo Parish",71101,US,"TIGER/Line® dataset from the US Census Bureau"
"1 VA CENTER, AUGUSTA, ME, 4330",44.280517,-69.704758,1,rooftop,1,"Va Ctr",Augusta,ME,"Kennebec County",04330,US,"Maine Office of GIS"
"10 NORTH GREENE STREET, BALTIMORE, MD, 21201",39.28971,-76.624468,1,rooftop,10,"N Greene St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore"
"421 N MAIN ST, LEEDS, MA, 1053",42.349727,-72.68262,1,rooftop,421,"N Main St",Leeds,MA,"Hampshire County",01053,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"8901 Rockville Pike, Bethesda, MD, 20889",38.998221,-77.101431,0.5,nearest_rooftop_match,9000,"Rockville Pik",Bethesda,MD,"Montgomery County",20814,US,Montgomery
"200 SPRINGS ROAD, BEDFORD, MA, 1730",42.504655,-71.273482,1,rooftop,200,"Springs Rd",Bedford,MA,"Middlesex County",01730,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"325 EAST H STREET, IRON MOUNTAIN, MI, 49801",45.811586,-88.0638,1,range_interpolation,325,"E H St","Iron Mountain",MI,"Dickinson County",49801,US,"TIGER/Line® dataset from the US Census Bureau"
"5500 ARMSTRONG RD., BATTLE CREEK, MI, 49037",42.343459,-85.291367,1,rooftop,5500,"Armstrong Rd","Battle Creek",MI,"Calhoun County",49037,US,Allegan
"4646 JOHN R., DETROIT, MI, 48201",42.355717,-83.059014,1,rooftop,4646,"John R",Detroit,MI,"Wayne County",48201,US,Semcog
"2215 FULLER ROAD, ANN ARBOR, MI, 48105",42.28524,-83.713913,1,rooftop,2215,"Fuller Rd","Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"4801 VETERANS DRIVE, ST. CLOUD, MN, 56303",45.567144,-94.21389,0.4,rooftop,4801,"8th St N","Saint Cloud",MN,"Stearns County",56303,US,Stearns
"3551 Roger Brooke Drive, Fort Sam Houston, TX, 78234",29.818679,-95.385963,0.8,range_interpolation,3551,"Rogers St",Houston,TX,"Harris County",77022,US,"TIGER/Line® dataset from the US Census Bureau"
"36000 Darnall Loop, Fort Hood, TX, 76544",31.133758,-97.773479,0.6,street_center,,"Darnell Loop",Killeen,TX,"Bell County",76544,US,"TIGER/Line® dataset from the US Census Bureau"
"2002 HOLCOMBE BLVD., HOUSTON, TX, 77030",29.705791,-95.390121,1,range_interpolation,2002,"Holcombe Blvd",Houston,TX,"Harris County",77030,US,"TIGER/Line® dataset from the US Census Bureau"
"5005 N. Piedras St., El Paso, TX, 79920",31.8216,-106.460073,1,rooftop,5005,"N Piedras","El Paso",TX,"El Paso County",79920,US,"El Paso"
"1901 VETERANS MEMORIAL DRIVE, TEMPLE, TX, 76504",31.079833,-97.348596,1,range_interpolation,1901,"Veterans Memorial Dr",Temple,TX,"Bell County",76504,US,"TIGER/Line® dataset from the US Census Bureau"
"7400 MERTON MINTER BLVD., SAN ANTONIO, TX, 78229",29.506013,-98.580914,1,rooftop,7400,"Merton Minter","San Antonio",TX,"Bexar County",78229,US,"San Antonio"
"500 FOOTHILL BLVD., SALT LAKE CITY, UT, 84148",40.758354,-111.840809,0.9,range_interpolation,500,"Foothill Dr","Salt Lake City",UT,"Salt Lake County",84113,US,"TIGER/Line® dataset from the US Census Bureau"
"163 VETERANS DRIVE, WHITE RIVER JUNCTION, VT, 5009",43.648061,-72.34222,0.9,rooftop,163,"Veterans Dr","White River Junction",VT,"Windsor County",05001,US,"VT Enhanced 911 Board, VCGI"
"9300 DeWitt Loop, Fort Belvoir, VA, 22060",38.714562,-77.167886,0.33,place,,,"Fort Belvoir",VA,"Fairfax County",22060,US,"TIGER/Line® dataset from the US Census Bureau"
"1970 ROANOKE BOULEVARD, SALEM, VA, 24153",37.274527,-80.019889,1,rooftop,1970,"Roanoke Blvd",Salem,VA,"Roanoke County",24153,US,"City of Salem"
