Hospital_Name,Provider ID,State,FISCAL_YEAR,DOMAIN_1_SCORE,DOMAIN_1_FOOTNOTE,DOMAIN_1_START_DATE,DOMAIN_1_END_DATE,PSI_90_W_Z_Score,PSI_90_FOOTNOTE,DOMAIN_2_SCORE,DOMAIN_2_FOOTNOTE,CLABSI_W_Z_SCORE,CLABSI_FOOTNOTE,CAUTI_W_Z_SCORE,CAUTI_FOOTNOTE,SSI_W_Z_SCORE,SSI_FOOTNOTE,MRSA_W_Z_SCORE,MRSA_FOOTNOTE,CDI_W_Z_SCORE,CDI_FOOTNOTE,DOMAIN_2_START_DATE,DOMAIN_2_END_DATE,TOTAL_HAC_SCORE,TOTAL_HAC_FOOTNOTE,PAYMENT_REDUCTION,PAYMENT_REDUCTION_FOOTNOTE
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,050714,CA,2019,-0.8257,,10/01/2015,06/30/2017,-0.8257,,0.6966,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.4122,,Not Available,5 - Results are not available for this reporting period.,1.8053,,01/01/2016,12/31/2017,0.4682,,Yes,
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,050717,CA,2019,-0.3449,,10/01/2015,06/30/2017,-0.3449,,-1.2359,,-1.2459,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4406,,-1.0212,,01/01/2016,12/31/2017,-1.1023,,No,
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,050723,CA,2019,-0.5078,,10/01/2015,06/30/2017,-0.5078,,0.2889,,0.8316,,0.7475,,-0.4746,,-0.5009,,0.841,,01/01/2016,12/31/2017,0.1694,,No,
BAKERSFIELD HEART HOSPITAL,050724,CA,2019,-0.3745,,10/01/2015,06/30/2017,-0.3745,,-0.2259,,-1.0114,,2.1658,,-1.4966,,-1.4406,,0.6531,,01/01/2016,12/31/2017,-0.2482,,No,
STANISLAUS SURGICAL HOSPITAL,050726,CA,2019,-0.7609,,10/01/2015,06/30/2017,-0.7609,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.7609,,No,
COMMUNITY HOSPITAL OF LONG BEACH,050727,CA,2019,-0.6443,,10/01/2015,06/30/2017,-0.6443,,1.2044,,0.5361,,0.1143,,Not Available,5 - Results are not available for this reporting period.,2.196,,1.9711,,01/01/2016,12/31/2017,0.9271,,Yes,
WHITTIER HOSPITAL MEDICAL CENTER,050735,CA,2019,-0.8613,,10/01/2015,06/30/2017,-0.8613,,-0.2195,,1.3487,,-0.7649,,-1.0214,,-0.0779,,-0.5819,,01/01/2016,12/31/2017,-0.3158,,No,
MONTEREY PARK HOSPITAL,050736,CA,2019,1.5047,,10/01/2015,06/30/2017,1.5047,,0.1959,,-0.6974,,-0.9899,,2.1365,,-1.4406,,1.9711,,01/01/2016,12/31/2017,0.3922,,Yes,
GARFIELD MEDICAL CENTER,050737,CA,2019,-0.2935,,10/01/2015,06/30/2017,-0.2935,,0.4234,,2.2018,,0.8191,,-1.4966,,-0.6213,,1.214,,01/01/2016,12/31/2017,0.3159,,No,
GREATER EL MONTE COMMUNITY HOSPITAL,050738,CA,2019,-0.3866,,10/01/2015,06/30/2017,-0.3866,,-1.0449,,-0.0843,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,-1.4406,,-1.1345,,01/01/2016,12/31/2017,-0.9462,,No,
CENTINELA HOSPITAL MEDICAL CENTER,050739,CA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.0219,,-0.2081,,-0.3968,,-1.4966,,2.196,,0.0149,,01/01/2016,12/31/2017,-0.2151,,No,
MARINA DEL REY HOSPITAL,050740,CA,2019,-0.5851,,10/01/2015,06/30/2017,-0.5851,,-0.1486,,2.2018,,-1.0021,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,-0.2973,,01/01/2016,12/31/2017,-0.214,,No,
OLYMPIA MEDICAL CENTER,050742,CA,2019,-0.3706,,10/01/2015,06/30/2017,-0.3706,,1.0391,,2.2018,,2.1658,,-1.4966,,0.3535,,1.9711,,01/01/2016,12/31/2017,0.8276,,Yes,
ANAHEIM GLOBAL MEDICAL CENTER,050744,CA,2019,-0.433,,10/01/2015,06/30/2017,-0.433,,1.1773,,1.9544,,0.2399,,Not Available,5 - Results are not available for this reporting period.,2.196,,0.3188,,01/01/2016,12/31/2017,0.9357,,Yes,
CHAPMAN GLOBAL MEDICAL CENTER,050745,CA,2019,0.0174,,10/01/2015,06/30/2017,0.0174,,-1.0635,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.6068,,01/01/2016,12/31/2017,-0.9014,,No,
ORANGE COUNTY GLOBAL MEDICAL CENTER,050746,CA,2019,-0.0062,,10/01/2015,06/30/2017,-0.0062,,0.3264,,0.49,,1.3651,,-0.7975,,-0.1147,,0.6891,,01/01/2016,12/31/2017,0.2765,,No,
SOUTH COAST GLOBAL MEDICAL CENTER,050747,CA,2019,-0.3097,,10/01/2015,06/30/2017,-0.3097,,0.0597,,2.1298,,1.3232,,-1.4966,,-1.4406,,-0.2172,,01/01/2016,12/31/2017,0.0043,,No,
KAISER FOUNDATION HOSPITAL MANTECA,050748,CA,2019,-0.6257,,10/01/2015,06/30/2017,-0.6257,,-0.2818,,-0.4075,,0.7929,,-0.8709,,-0.9189,,-0.0044,,01/01/2016,12/31/2017,-0.3334,,No,
MIRACLE MILE MEDICAL CENTER,050751,CA,2019,-0.2679,,10/01/2015,06/30/2017,-0.2679,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.2679,,No,
MENLO PARK SURGICAL HOSPITAL,050754,CA,2019,-0.0354,,10/01/2015,06/30/2017,-0.0354,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0354,,No,
SHERMAN OAKS HOSPITAL,050755,CA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.0406,,-1.0095,,-0.4893,,Not Available,5 - Results are not available for this reporting period.,2.196,,-0.5349,,01/01/2016,12/31/2017,-0.1992,,No,
ALVARADO HOSPITAL MEDICAL CENTER,050757,CA,2019,-1.164,,10/01/2015,06/30/2017,-1.164,,0.8301,,1.8454,,-0.348,,-0.3315,,2.196,,0.7885,,01/01/2016,12/31/2017,0.531,,Yes,
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,CA,2019,-0.3264,,10/01/2015,06/30/2017,-0.3264,,-0.8158,,-0.4001,,-0.9847,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.0627,,01/01/2016,12/31/2017,-0.7424,,No,
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,CA,2019,0.4611,,10/01/2015,06/30/2017,0.4611,,-0.0414,,-1.0502,,1.1313,,1.6099,,-1.4406,,-0.4576,,01/01/2016,12/31/2017,0.0339,,No,
PROVIDENCE TARZANA MEDICAL CENTER,050761,CA,2019,-1.3569,,10/01/2015,06/30/2017,-1.3569,,0.4072,,0.1871,,0.383,,-0.2544,,0.9788,,0.7416,,01/01/2016,12/31/2017,0.1426,,No,
SILVER LAKE MEDICAL CENTER,050763,CA,2019,-0.6739,,10/01/2015,06/30/2017,-0.6739,,0.1127,,-0.7214,,-0.9114,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,-0.0052,,No,
SHASTA REGIONAL MEDICAL CENTER,050764,CA,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,1.6301,,2.2018,,1.3441,,2.1365,,2.196,,0.2719,,01/01/2016,12/31/2017,1.1519,,Yes,
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,CA,2019,1.136,,10/01/2015,06/30/2017,1.136,,-0.4008,,-1.4878,,1.953,,-1.4966,,-1.4406,,0.468,,01/01/2016,12/31/2017,-0.1703,,No,
SUTTER SURGICAL HOSPITAL - NORTH VALLEY,050766,CA,2019,-1.2597,,10/01/2015,06/30/2017,-1.2597,,1.8264,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.8264,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,1.3635,,Yes,
KAISER FOUNDATION HOSPITAL - VACAVILLE,050767,CA,2019,-0.4213,,10/01/2015,06/30/2017,-0.4213,,0.8793,,0.6008,,0.84,,1.819,,1.7379,,-0.6013,,01/01/2016,12/31/2017,0.6842,,Yes,
HOAG ORTHOPEDIC INSTITUTE,050769,CA,2019,-1.3227,,10/01/2015,06/30/2017,-1.3227,,-1.3777,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.3777,,01/01/2016,12/31/2017,-1.3694,,No,
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,050770,CA,2019,-0.16,,10/01/2015,06/30/2017,-0.16,,0.809,,2.0375,,1.3127,,0.2796,,-0.0278,,0.4432,,01/01/2016,12/31/2017,0.6637,,Yes,
COAST PLAZA HOSPITAL,050771,CA,2019,-0.2952,,10/01/2015,06/30/2017,-0.2952,,-0.5842,,-0.3909,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.1586,,01/01/2016,12/31/2017,-0.5408,,No,
KAISER FOUNDATION HOSPITAL - ROSEVILLE,050772,CA,2019,-0.4226,,10/01/2015,06/30/2017,-0.4226,,-0.4572,,-0.1268,,-0.0008,,-0.8562,,-1.0076,,-0.2946,,01/01/2016,12/31/2017,-0.452,,No,
SAN LEANDRO HOSPITAL,050773,CA,2019,1.6223,,10/01/2015,06/30/2017,1.6223,,0.1863,,-0.0308,,0.3673,,Not Available,5 - Results are not available for this reporting period.,-1.4406,,1.8495,,01/01/2016,12/31/2017,0.4017,,Yes,
TEMECULA VALLEY HOSPITAL,050775,CA,2019,-1.4139,,10/01/2015,06/30/2017,-1.4139,,-0.5937,,-1.1499,,0.9464,,-1.4966,,-1.4406,,0.1724,,01/01/2016,12/31/2017,-0.7167,,No,
COLLEGE MEDICAL CENTER,050776,CA,2019,-0.4953,,10/01/2015,06/30/2017,-0.4953,,-0.4142,,0.3995,,-0.348,,Not Available,5 - Results are not available for this reporting period.,-0.618,,-1.0903,,01/01/2016,12/31/2017,-0.4264,,No,
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,050777,CA,2019,0.3225,,10/01/2015,06/30/2017,0.3225,,-0.3852,,-0.4444,,0.1248,,0.0043,,-0.103,,-1.5075,,01/01/2016,12/31/2017,-0.279,,No,
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,050778,CA,2019,Not Available,1 - The number of cases/patients is too few to report.,10/01/2015,06/30/2017,Not Available,1 - The number of cases/patients is too few to report.,-0.3802,,0.0671,,-0.0933,,Not Available,5 - Results are not available for this reporting period.,-0.7718,,-0.7228,,01/01/2016,12/31/2017,-0.3802,,No,
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",050779,CA,2019,-0.4559,,10/01/2015,06/30/2017,-0.4559,,-0.0133,,1.8713,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,0.3434,,-0.7477,,01/01/2016,12/31/2017,-0.0797,,No,
FOOTHILL REGIONAL MEDICAL CENTER,050780,CA,2019,-0.6253,,10/01/2015,06/30/2017,-0.6253,,1.2389,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.2389,,01/01/2016,12/31/2017,0.9593,,Yes,
SONOMA WEST MEDICAL CENTER,050781,CA,2019,-0.4732,,10/01/2015,06/30/2017,-0.4732,,2.1342,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,2.2018,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,2.1658,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,2.1365,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,2.196,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,1.9711,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,01/01/2016,12/31/2017,1.7431,,Yes,
CASA COLINA HOSPITAL,050782,CA,2019,-1.2557,,10/01/2015,06/30/2017,-1.2557,,0.0757,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.0757,,01/01/2016,12/31/2017,-0.124,,No,
NORTH COLORADO MEDICAL CENTER,060001,CO,2019,0.2616,,10/01/2015,06/30/2017,0.2616,,-0.3466,,-0.2007,,-0.0566,,0.1291,,-0.9925,,-0.6123,,01/01/2016,12/31/2017,-0.2554,,No,
LONGMONT UNITED HOSPITAL,060003,CO,2019,0.4047,,10/01/2015,06/30/2017,0.4047,,-0.1848,,-1.1702,,1.8849,,0.2814,,-1.4406,,-0.4797,,01/01/2016,12/31/2017,-0.0964,,No,
PLATTE VALLEY MEDICAL CENTER,060004,CO,2019,-1.1519,,10/01/2015,06/30/2017,-1.1519,,-1.0196,,-1.4878,,-1.5202,,-0.425,,Not Available,5 - Results are not available for this reporting period.,-0.6455,,01/01/2016,12/31/2017,-1.0395,,No,
MONTROSE MEMORIAL HOSPITAL,060006,CO,2019,-0.8504,,10/01/2015,06/30/2017,-0.8504,,0.0378,,-1.4878,,-0.4561,,1.1713,,Not Available,5 - Results are not available for this reporting period.,0.9239,,01/01/2016,12/31/2017,-0.0954,,No,
SAN LUIS VALLEY HEALTH,060008,CO,2019,0.3189,,10/01/2015,06/30/2017,0.3189,,0.322,,Not Available,5 - Results are not available for this reporting period.,2.1658,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,0.2967,,01/01/2016,12/31/2017,0.3215,,No,
LUTHERAN MEDICAL CENTER,060009,CO,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.0871,,-0.7861,,0.0568,,0.4887,,-0.5494,,0.3547,,01/01/2016,12/31/2017,0.278,,No,
POUDRE VALLEY HOSPITAL,060010,CO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.6523,,-1.4878,,-0.8277,,-0.2929,,-1.0159,,0.363,,01/01/2016,12/31/2017,-0.7881,,No,
DENVER HEALTH MEDICAL CENTER,060011,CO,2019,-0.1009,,10/01/2015,06/30/2017,-0.1009,,0.6078,,0.6968,,0.6132,,1.2484,,-0.0177,,0.4984,,01/01/2016,12/31/2017,0.5015,,Yes,
CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,060012,CO,2019,-0.7213,,10/01/2015,06/30/2017,-0.7213,,0.4355,,2.2018,,0.1579,,0.164,,-0.9139,,0.5675,,01/01/2016,12/31/2017,0.2619,,No,
MERCY REGIONAL MEDICAL CENTER,060013,CO,2019,-0.4082,,10/01/2015,06/30/2017,-0.4082,,0.905,,1.2286,,2.1658,,-0.3461,,0.1963,,1.2804,,01/01/2016,12/31/2017,0.708,,Yes,
PRESBYTERIAN ST LUKES MEDICAL CENTER,060014,CO,2019,0.4718,,10/01/2015,06/30/2017,0.4718,,0.1978,,-0.245,,0.512,,-0.8232,,-0.4257,,1.9711,,01/01/2016,12/31/2017,0.2389,,No,
CENTURA HEALTH-ST ANTHONY HOSPITAL,060015,CO,2019,0.695,,10/01/2015,06/30/2017,0.695,,0.3894,,-0.3447,,0.8243,,-0.1204,,0.1361,,1.4517,,01/01/2016,12/31/2017,0.4352,,Yes,
CENTURA HEALTH-ST THOMAS MORE HOSPITAL,060016,CO,2019,-0.5042,,10/01/2015,06/30/2017,-0.5042,,-0.5531,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,-0.737,,Not Available,5 - Results are not available for this reporting period.,0.5979,,01/01/2016,12/31/2017,-0.5458,,No,
"PARKVIEW MEDICAL CENTER, INC",060020,CO,2019,2.214,,10/01/2015,06/30/2017,2.214,,0.3491,,1.1381,,-0.7038,,0.5621,,0.096,,0.6531,,01/01/2016,12/31/2017,0.6289,,Yes,
UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,060022,CO,2019,-1.3129,,10/01/2015,06/30/2017,-1.3129,,-0.4108,,-0.6753,,-0.5852,,-0.3902,,-0.1281,,-0.2752,,01/01/2016,12/31/2017,-0.5461,,No,
ST MARYS  MEDICAL CENTER,060023,CO,2019,-0.2455,,10/01/2015,06/30/2017,-0.2455,,-0.0218,,-0.3059,,-0.6829,,-0.1003,,0.1361,,0.8438,,01/01/2016,12/31/2017,-0.0554,,No,
UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,060024,CO,2019,2.0202,,10/01/2015,06/30/2017,2.0202,,0.2029,,-0.2321,,-0.4875,,1.1713,,-0.3087,,0.8714,,01/01/2016,12/31/2017,0.4755,,Yes,
FOOTHILLS HOSPITAL,060027,CO,2019,1.633,,10/01/2015,06/30/2017,1.633,,0.5822,,-1.257,,2.1658,,2.1365,,-0.6163,,0.4818,,01/01/2016,12/31/2017,0.7398,,Yes,
SAINT JOSEPH HOSPITAL,060028,CO,2019,1.8963,,10/01/2015,06/30/2017,1.8963,,-0.3801,,-0.6587,,-0.9184,,0.4502,,-0.7718,,-0.0017,,01/01/2016,12/31/2017,-0.0386,,No,
MCKEE MEDICAL CENTER,060030,CO,2019,1.0587,,10/01/2015,06/30/2017,1.0587,,-0.2291,,-0.5645,,1.4,,-0.2415,,Not Available,5 - Results are not available for this reporting period.,-1.5103,,01/01/2016,12/31/2017,-0.0359,,No,
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,060031,CO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.091,,-0.4149,,-0.0148,,-0.0691,,-0.322,,0.3658,,01/01/2016,12/31/2017,-0.311,,No,
ROSE MEDICAL CENTER,060032,CO,2019,-0.0751,,10/01/2015,06/30/2017,-0.0751,,0.5534,,0.9904,,0.1004,,0.4539,,0.942,,0.2801,,01/01/2016,12/31/2017,0.4591,,Yes,
SWEDISH MEDICAL CENTER,060034,CO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.3855,,0.0615,,-0.1561,,0.4612,,0.927,,0.6338,,01/01/2016,12/31/2017,0.094,,No,
COLORADO PLAINS MEDICAL CENTER,060044,CO,2019,0.487,,10/01/2015,06/30/2017,0.487,,-1.4357,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4357,,01/01/2016,12/31/2017,-1.1473,,No,
UCHEALTH YAMPA VALLEY MEDICAL CENTER,060049,CO,2019,0.6522,,10/01/2015,06/30/2017,0.6522,,1.8136,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.8136,,01/01/2016,12/31/2017,1.6394,,Yes,
COMMUNITY HOSPITAL,060054,CO,2019,-0.1879,,10/01/2015,06/30/2017,-0.1879,,1.0938,,-0.0068,,2.1326,,0.4135,,Not Available,5 - Results are not available for this reporting period.,1.8357,,01/01/2016,12/31/2017,0.9015,,Yes,
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,060064,CO,2019,2.1393,,10/01/2015,06/30/2017,2.1393,,-0.474,,-1.0465,,0.3254,,-1.4966,,-0.6481,,0.4957,,01/01/2016,12/31/2017,-0.082,,No,
NORTH SUBURBAN MEDICAL CENTER,060065,CO,2019,2.1744,,10/01/2015,06/30/2017,2.1744,,0.114,,-0.2007,,1.2744,,0.5878,,-1.4406,,0.3492,,01/01/2016,12/31/2017,0.4231,,Yes,
DELTA COUNTY MEMORIAL HOSPITAL,060071,CO,2019,-0.5123,,10/01/2015,06/30/2017,-0.5123,,0.1508,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.8269,,Not Available,5 - Results are not available for this reporting period.,1.1284,,01/01/2016,12/31/2017,0.0513,,No,
VALLEY VIEW HOSPITAL ASSOCIATION,060075,CO,2019,-1.2751,,10/01/2015,06/30/2017,-1.2751,,-0.8421,,-1.4878,,0.2853,,-1.4966,,-1.4406,,-0.0708,,01/01/2016,12/31/2017,-0.9071,,No,
STERLING REGIONAL MEDCENTER,060076,CO,2019,0.1538,,10/01/2015,06/30/2017,0.1538,,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.6985,,Yes,
VAIL HEALTH HOSPITAL,060096,CO,2019,0.357,,10/01/2015,06/30/2017,0.357,,2.0684,,Not Available,5 - Results are not available for this reporting period.,2.1658,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.8117,,Yes,
"MEDICAL CENTER OF AURORA, THE",060100,CO,2019,-0.2746,,10/01/2015,06/30/2017,-0.2746,,-0.5171,,-1.004,,-1.0946,,-0.2269,,-0.1063,,-0.1536,,01/01/2016,12/31/2017,-0.4807,,No,
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,060103,CO,2019,0.4185,,10/01/2015,06/30/2017,0.4185,,-0.2421,,-1.4878,,2.1658,,-0.3296,,Not Available,5 - Results are not available for this reporting period.,-1.3169,,01/01/2016,12/31/2017,-0.143,,No,
ST ANTHONY NORTH HEALTH CAMPUS,060104,CO,2019,0.7581,,10/01/2015,06/30/2017,0.7581,,1.0554,,0.2481,,0.9516,,1.5236,,2.196,,0.3575,,01/01/2016,12/31/2017,1.0108,,Yes,
DANBURY HOSPITAL,070033,CT,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.5295,,-0.3096,,-0.2433,,-0.1039,,-0.8755,,-1.1152,,01/01/2016,12/31/2017,-0.098,,No,
NORWALK HOSPITAL ASSOCIATION,070034,CT,2019,1.6137,,10/01/2015,06/30/2017,1.6137,,0.0014,,-0.1767,,0.7353,,0.1016,,-0.1682,,-0.4852,,01/01/2016,12/31/2017,0.2432,,No,
NATIONAL JEWISH HEALTH,060107,CO,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,Not Available,5 - Results are not available for this reporting period.,No,
SKY RIDGE MEDICAL CENTER,060112,CO,2019,-0.1435,,10/01/2015,06/30/2017,-0.1435,,-0.2147,,-0.9541,,0.0445,,-0.0397,,-0.1197,,-0.0044,,01/01/2016,12/31/2017,-0.204,,No,
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,060113,CO,2019,1.7168,,10/01/2015,06/30/2017,1.7168,,0.1219,,0.8261,,0.5208,,-0.2691,,-0.9724,,0.5039,,01/01/2016,12/31/2017,0.3611,,Yes,
PARKER ADVENTIST HOSPITAL,060114,CO,2019,-0.7449,,10/01/2015,06/30/2017,-0.7449,,0.3163,,0.0209,,1.2604,,-0.2305,,-1.4406,,1.9711,,01/01/2016,12/31/2017,0.1571,,No,
GOOD SAMARITAN MEDICAL CENTER,060116,CO,2019,0.6991,,10/01/2015,06/30/2017,0.6991,,0.4137,,1.1252,,0.0777,,0.4337,,0.3785,,0.0536,,01/01/2016,12/31/2017,0.4565,,Yes,
"ANIMAS SURGICAL HOSPITAL, LLC",060117,CO,2019,-0.4127,,10/01/2015,06/30/2017,-0.4127,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.4127,,No,
ST ANTHONY SUMMIT MEDICAL CENTER,060118,CO,2019,0.1657,,10/01/2015,06/30/2017,0.1657,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6112,,No,
MEDICAL CENTER OF THE ROCKIES,060119,CO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.435,,-0.7842,,1.3023,,1.353,,-1.026,,1.3301,,01/01/2016,12/31/2017,0.1361,,No,
ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,060124,CO,2019,-0.4176,,10/01/2015,06/30/2017,-0.4176,,-0.4698,,Not Available,5 - Results are not available for this reporting period.,-0.4212,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.5184,,01/01/2016,12/31/2017,-0.462,,No,
CASTLE ROCK ADVENTIST HOSPITAL,060125,CO,2019,0.8431,,10/01/2015,06/30/2017,0.8431,,0.8348,,2.2018,,1.0389,,0.4979,,Not Available,5 - Results are not available for this reporting period.,-0.3996,,01/01/2016,12/31/2017,0.836,,Yes,
BANNER FORT COLLINS MEDICAL CENTER,060126,CO,2019,-0.1751,,10/01/2015,06/30/2017,-0.1751,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6623,,No,
SCL HEALTH COMMUNITY HOSPITAL- NORTHGLENN,060127,CO,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,Not Available,5 - Results are not available for this reporting period.,No,
LONGS PEAK HOSPITAL,060128,CO,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,Not Available,5 - Results are not available for this reporting period.,No,
